categoria,fator_do_dado,evidencia_ou_contexto,possivel_impacto_na_modelagem,encaminhamento
Imagens,Condições de aquisição heterogêneas,"Os experimentos apresentam diferenças de resolução, enquadramento e escala em mm/pixel. L9 foi obtido a partir de uma fotografia geral e possui menor resolução.",A quantidade e a qualidade da informação visual podem variar entre os cordões.,"Manter os metadados de aquisição e relatar resultados por experimento, sem excluir L9 automaticamente."
Construção do alvo,Orientação longitudinal dos perfis,"L1, L2, L3, L4, L5, L6, L7, L8 e L9: orientação invertida; confiança descritiva alta. A imagem de L9 foi rotacionada antes da reconstrução atual, e o procedimento foi integralmente repetido.",Uma orientação incorreta associaria frames a posições longitudinais opostas.,Preservar orientação e confiança descritiva como metadados de auditoria; não tratá-las como validação metrológica.
Construção do alvo,Associação perfil–frames por posição relativa,O perfil reconstruído é associado aos frames pela posição normalizada na sequência de cada experimento.,Os percentuais longitudinais não representam necessariamente uma coordenada física registrada individualmente.,"Documentar a associação relativa e preservar índices, número de frames e posição normalizada."
Construção do alvo,Repetibilidade condicional das etapas manuais,"O estudo com L2, L6 e L9 manteve imagem, ROI, calibração, parâmetros e ambiente computacional fixos e refez extremidades, pontos-guia e trajetórias.",Parte da diferença entre previsão e alvo pode estar associada às etapas manuais da reconstrução.,"Interpretar métricas dos modelos junto com a variabilidade condicional, sem tratá-la como incerteza metrológica total."
Estrutura longitudinal,Dependência temporal entre frames,Frames consecutivos pertencem à mesma sequência de deposição e possuem imagens e alvos relacionados.,Divisões aleatórias por frame causariam vazamento entre observações longitudinalmente próximas.,Manter cada experimento integralmente em uma única partição.
Amostragem,Somente nove unidades experimentais independentes,Os 26.634 frames pertencem a nove cordões. com 1.750 a 4.234 frames por experimento.,A grande quantidade de frames não aumenta o número de deposições independentes.,"Avaliar por experimento e apresentar métricas globais, macro e por cordão."
Desenho experimental,Ausência de réplicas físicas por condição,Cada combinação de parâmetros é representada por um único cordão.,Não é possível separar a condição de processo das particularidades da deposição observada.,Limitar conclusões ao domínio observado e não interpretar frames como réplicas físicas.
Desenho experimental,Confundimento entre corrente e vazão mássica,Corrente e vazão mássica foram alteradas conjuntamente.,Não é possível estimar separadamente a contribuição de cada parâmetro com este desenho.,Tratar corrente e vazão como um nível combinado.
Definição do alvo,Diferenças entre os alvos,As diferenças entre y_original e y_reconstruido mudam de magnitude e sinal entre experimentos e posições.,"A troca do alvo pode modificar ajuste, previsões e contrastes.",Preservar os dois alvos e comparar separadamente os pipelines.
Variáveis derivadas,Dependência das variáveis temporais do alvo antigo,As variáveis temporais e modelos existentes foram produzidos com y_original.,Reutilizar essas variáveis com y_reconstruido misturaria definições diferentes da variável-alvo.,Regenerar todas as variáveis derivadas do alvo e treinar e avaliar novamente os modelos.
Estrutura longitudinal,Sensibilidade aos intervalos avaliados,"Os intervalos testados modificaram média, dispersão e inclinação linear descritiva de modo dependente do cordão.",Intervalos diferentes definem distribuições do alvo e problemas de regressão distintos.,Documentar o intervalo utilizado e não adotar um corte universal sem nova justificativa.
