tema,principal_achado,implicacao
Orientação atual,"L1, L2, L3, L4, L5, L6, L7, L8 e L9: orientação invertida; confiança descritiva alta. A imagem de L9 foi rotacionada antes da reconstrução atual e todas as etapas foram refeitas.",A confiança é descritiva e não equivale a validação física ou confiança metrológica.
Estrutura amostral,"26.634 frames distribuídos entre nove cordões, com 1.750 a 4.234 frames por experimento.","O cordão, e não o frame, deve ser considerado a unidade experimental nas partições."
Médias globais,"Todos os frames: 11.2832 mm no original, 11.2167 mm no reconstruído e diferença -0.0665 mm. Mesmo peso por experimento: 10.8224 mm, 10.7157 mm e diferença -0.1067 mm.",A agregação por frames e a agregação macro respondem a ponderações diferentes.
Diferenças por experimento,"A média reconstruída é superior em L1, L2 e L6 e inferior em L3, L4, L5, L7, L8 e L9. A maior diferença positiva ocorre em L1, e a maior negativa em L5.",A reconstrução não equivale a uma correção constante do alvo anterior.
Percentis e correlações,Somente L1 possui percentil 5 da diferença acima de zero. O menor Pearson ocorre em L8 (0.6525) e o menor Spearman em L9 (0.4746).,Pearson e Spearman medem aspectos distintos e não constituem validação física independente.
Amplitudes,A amplitude reconstruída é menor em sete experimentos e maior em L2 e L8.,A amplitude deve ser analisada com medidas menos sensíveis aos extremos.
Intervalos longitudinais,"Entre os seis intervalos avaliados, não há um corte único que otimize dispersão e inclinação em todos os cordões. Em L9, a mudança média em 40%–90% é -0.1068 mm.",Conclusões sobre cortes permanecem limitadas aos intervalos testados.
Terços longitudinais,"O trecho intermediário apresenta o menor desvio-padrão em 6 dos nove experimentos. Em L9, a média aumenta do trecho inicial para o intermediário e final.",Nenhum terço é uniformemente mais estável por todas as métricas.
Histogramas,"A média é inferior à mediana em L2, L4, L6 e L9.",A comparação entre média e mediana é apenas um indicador descritivo e deve ser lida com o histograma.
Repetibilidade condicional,"O desenho contém L2, L6 e L9, dois operadores e três reconstruções por operador e experimento, totalizando 18. L6 apresenta as maiores diferenças absolutas entre operadores e L9 as maiores diferenças relativas.",Os 501 pontos são sequenciais e correlacionados; o estudo não estima a incerteza metrológica total.
