etapa,decisao,justificativa
Definição do alvo,"Preparar e avaliar o pipeline atualizado com y_reconstruido, preservando y_original como referência histórica e comparativa.",Os dois alvos não são numericamente equivalentes e produzem diferenças longitudinais e contrastes distintos.
Variáveis temporais,Regenerar separadamente as variáveis dependentes de cada alvo dentro de cada divisão de avaliação.,"As variáveis temporais existentes foram geradas a partir de y_original. Além disso, modelos auxiliares, estatísticas e valores utilizados nessa geração não devem usar informações dos experimentos reservados para validação ou teste."
Particionamento,"Manter cada experimento integralmente em uma única partição e avaliar o desempenho por validação cruzada agrupada, preferencialmente deixando um experimento de fora em cada rodada.","A separação aleatória por frame permitiria vazamento entre imagens longitudinalmente próximas. Como existem apenas nove cordões, uma única divisão fixa também pode produzir uma avaliação muito dependente dos experimentos selecionados para cada conjunto."
Métricas,"Apresentar métricas globais, macro e por experimento.",A quantidade desigual de frames e a heterogeneidade dos cordões podem ser ocultadas por uma única métrica agregada.
Balanceamento,Comparar ponderação por experimento e amostragem equilibrada durante o treinamento.,Os cordões possuem quantidades diferentes de frames.
Cortes longitudinais,Não adotar um corte longitudinal universal com base apenas nesta EDA.,"Os efeitos dos cortes variam entre experimentos e entre medidas de nível, dispersão e inclinação linear descritiva."
Interpretação das métricas,Interpretar as diferenças entre previsão e alvo em conjunto com a variabilidade observada no estudo-piloto de repetibilidade.,Parte da discordância pode estar na mesma ordem de grandeza da variabilidade condicional das etapas manuais avaliadas. Essa variabilidade não representa a incerteza total da reconstrução.
L9,Manter o experimento e apresentar resultados com e sem sua inclusão.,"O L9 representa uma condição visual distinta, mas os resultados não sustentam sua exclusão automática."
Condições de processo,Interpretar corrente e vazão mássica como um nível combinado.,Os dois parâmetros foram modificados conjuntamente.
Generalização,Distinguir o desempenho em novos frames do desempenho em novos cordões e limitar as conclusões ao domínio experimental observado.,O conjunto contém apenas nove deposições e não possui réplicas independentes das condições.
